english,german,latin,system
extrahepatic bile duct,Extrahepatischer Gallengang,Ductus biliaris extrahepaticus,concept
extrinsic ligament of larynx,Extrinsisches Kehlkopfband,Ligamentum laryngis extrinsecum,concept
extrinsic muscle of shoulder,Extrinsischer Schultermuskel,Musculus extrinsecus regionis deltoideae,concept
extrinsic muscle of tongue,Äußerer Zungenmuskel,Musculus linguae extrinsecus,concept
face,Gesicht,Facies,concept
false rib,Falsche Rippe,Costa spuria,concept
fascia lata of left thigh,Oberschenkelfaszie des linken Oberschenkels,Fascia lata femoris sinistri,concept
fascia lata of right thigh,Oberschenkelfaszie des rechten Oberschenkels,Fascia lata femoris dextri,concept
faucial part of mouth,Rachenenge,Isthmus faucium,concept
femoral artery,Oberschenkelarterie,Arteria femoralis,concept
femoral vein,Oberschenkelvene,Vena femoralis,concept
femur,Oberschenkelknochen,Femur,concept
fibrous layer of eyeball,Faserschicht des Augapfels,Tunica fibrosa bulbi oculi,concept
fibrous layer of left eyeball,Faserschicht des linken Augapfels,Tunica fibrosa bulbi oculi sinistri,concept
fibrous layer of right eyeball,Faserschicht des rechten Augapfels,Tunica fibrosa bulbi oculi dextri,concept
fibrous ring of mitral valve,Faserring der Mitralklappe,Anulus fibrosus valvae mitralis,concept
fibrous skeleton of heart,Herzskelett,Skeleton fibrosum cordis,concept
fibula,Wadenbein,Fibula,concept
fibular vein,Wadenbeinvene,Vena fibularis,concept
fibularis brevis,Kurzer Wadenbeinmuskel,Musculus fibularis brevis,concept
fibularis longus,Langer Wadenbeinmuskel,Musculus fibularis longus,concept
fibularis tertius,Dritter Wadenbeinmuskel,Musculus fibularis tertius,concept
fifth cervical intervertebral symphysis,Fünfte Halswirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis cervicalis quinta,concept
fifth costal cartilage,Fünfter Rippenknorpel,Cartilago costalis quinta,concept
fifth lumbar intervertebral symphysis,Fünfte Lendenwirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis lumbalis quinta,concept
fifth metacarpal bone,Fünfter Mittelhandknochen,Os metacarpale quintum,concept
fifth metatarsal bone,Fünfter Mittelfußknochen,Os metatarsale quintum,concept
fifth rib,Fünfte Rippe,Costa quinta,concept
fifth thoracic intervertebral symphysis,Fünfte Brustwirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis thoracica quinta,concept
first common palmar digital artery,Erste gemeinsame Hohlhand-Fingerarterie,Arteria digitalis palmaris communis prima,concept
first costal cartilage,Erster Rippenknorpel,Cartilago costalis prima,concept
first lumbar intervertebral symphysis,Erste Lendenwirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis lumbalis prima,concept
first lumbrical of foot,Erster Spulmuskel des Fußes,Musculus lumbricalis primus pedis,concept
first metacarpal bone,Erster Mittelhandknochen,Os metacarpale primum,concept
first metatarsal bone,Erster Mittelfußknochen,Os metatarsale primum,concept
first plantar interosseous of foot,Erster Sohlenzwischenknochenmuskel des Fußes,Musculus interosseus plantaris primus pedis,concept
first posterior intercostal artery,Erste hintere Zwischenrippenarterie,Arteria intercostalis posterior prima,concept
first rib,Erste Rippe,Costa prima,concept
first thoracic intervertebral symphysis,Erste Brustwirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis thoracica prima,concept
flat bone,Platter Knochen,Os planum,concept
flexor accessorius,Viereckiger Sohlenmuskel,Musculus quadratus plantae,concept
flexor carpi radialis,Speichenseitiger Handbeuger,Musculus flexor carpi radialis,concept
flexor digiti minimi brevis of foot,Kurzer Kleinzehenbeuger des Fußes,Musculus flexor digiti minimi brevis pedis,concept
flexor digiti minimi brevis of hand,Kurzer Kleinfingerbeuger der Hand,Musculus flexor digiti minimi brevis manus,concept
flexor digitorum brevis,Kurzer Zehenbeuger,Musculus flexor digitorum brevis,concept
flexor digitorum longus,Langer Zehenbeuger,Musculus flexor digitorum longus,concept
flexor digitorum profundus,Tiefer Fingerbeuger,Musculus flexor digitorum profundus,concept
flexor digitorum superficialis,Oberflächlicher Fingerbeuger,Musculus flexor digitorum superficialis,concept
flexor hallucis longus,Langer Großzehenbeuger,Musculus flexor hallucis longus,concept
flexor pollicis brevis,Kurzer Daumenbeuger,Musculus flexor pollicis brevis,concept
flexor pollicis longus,Langer Daumenbeuger,Musculus flexor pollicis longus,concept
flexor retinaculum of wrist,Beugesehnen-Halteband des Handgelenks,Retinaculum musculorum flexorum carpi,concept
floating rib,Freie Rippe,Costa fluctuans,concept
forebrain,Vorderhirn,Prosencephalon,concept
fornix of forebrain,Fornix,Fornix,concept
fornix of neuraxis,Fornix der Neuraxis,Fornix neuraxis,concept
fourth cervical intervertebral symphysis,Vierte Halswirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis cervicalis quarta,concept
fourth common palmar digital artery,Vierte gemeinsame Hohlhand-Fingerarterie,Arteria digitalis palmaris communis quarta,concept
fourth costal cartilage,Vierter Rippenknorpel,Cartilago costalis quarta,concept
fourth lumbar intervertebral symphysis,Vierte Lendenwirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis lumbalis quarta,concept
fourth lumbrical of foot,Vierter Spulmuskel des Fußes,Musculus lumbricalis quartus pedis,concept
fourth metacarpal bone,Vierter Mittelhandknochen,Os metacarpale quartum,concept
fourth metatarsal bone,Vierter Mittelfußknochen,Os metatarsale quartum,concept
fourth rib,Vierte Rippe,Costa quarta,concept
fourth thoracic intervertebral symphysis,Vierte Brustwirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis thoracica quarta,concept
free wall of left ventricle,Freie Wand der linken Herzkammer,Paries liber ventriculi sinistri,concept
free wall of right ventricle,Freie Wand der rechten Herzkammer,Paries liber ventriculi dextri,concept
frontal nerve,Stirnnerv,Nervus frontalis,concept
frontal part of head,Stirnregion des Kopfes,Pars frontalis capitis,concept
fusiform gyrus,Spindelförmige Windung,Gyrus fusiformis,concept
ganglion,Ganglion,Ganglion,concept
gastroduodenal artery,Magen-Duodenal-Arterie,Arteria gastroduodenalis,concept
gastrointestinal tract,Magen-Darm-Trakt,Tractus gastrointestinalis,concept
gemellus,Zwillingsmuskel,Musculus gemellus,concept
gemellus inferior,Unterer Zwillingsmuskel,Musculus gemellus inferior,concept
gemellus superior,Oberer Zwillingsmuskel,Musculus gemellus superior,concept
genicular vein,Knievene,Vena genicularis,concept
genioglossus,Kinn-Zungen-Muskel,Musculus genioglossus,concept
geniohyoid,Kinn-Zungenbein-Muskel,Musculus geniohyoideus,concept
genital system,Geschlechtssystem,Systema genitale,concept
gingiva,Zahnfleisch,Gingiva,concept
globus pallidus,Pallidum,Globus pallidus,concept
gluteal muscle,Gesäßmuskel,Musculus gluteus,concept
gluteus maximus,Großer Gesäßmuskel,Musculus gluteus maximus,concept
gluteus medius,Mittlerer Gesäßmuskel,Musculus gluteus medius,concept
gluteus minimus,Kleiner Gesäßmuskel,Musculus gluteus minimus,concept
gracilis,Schlanker Muskel,Musculus gracilis,concept
gray matter of diencephalon,Graue Substanz des Zwischenhirns,Substantia grisea diencephali,concept
gray matter of hypothalamus,Graue Substanz des Hypothalamus,Substantia grisea hypothalami,concept
gray matter of neuraxis,Graue Substanz der Neuraxis,Substantia grisea neuraxis,concept
great saphenous vein,Große Rosenvene,Vena saphena magna,concept
gyrus of neuraxis,Windung der Neuraxis,Gyrus neuraxis,concept
hair,Haar,Pilus,concept
hair of trunk,Rumpfhaar,Pilus trunci,concept
hamate,Hakenbein,Os hamatum,concept
head,Kopf,Caput,concept
head of adductor hallucis,Kopf des Großzehenanziehers,Caput musculi adductoris hallucis,concept
head of biceps femoris,Kopf des zweiköpfigen Schenkelmuskels,Caput musculi bicipitis femoris,concept
head of flexor hallucis brevis,Kopf des kurzen Großzehenbeugers,Caput musculi flexoris hallucis brevis,concept
head of gastrocnemius,Kopf des Zwillingswadenmuskels,Caput musculi gastrocnemii,concept
head of muscle organ,Kopf des Muskels,Caput musculi,concept
head of organ,Kopf des Organs,Caput organi,concept
head proper,Eigentlicher Kopf,Caput proprium,concept
heart,Herz,Cor,concept
hepatic artery,Leberarterie,Arteria hepatica,concept
hepatic biliary tree,Gallengangsystem der Leber,Arbor biliaris hepatis,concept
hepatic vein,Lebervene,Vena hepatica,concept
hepatovenous subsector,Lebervenen-Subsektor,Subsector hepatovenosus,concept
heterogeneous cluster,Heterogener Cluster,Aggregatum heterogeneum,concept
hindbrain,Rautenhirn,Rhombencephalon,concept
hip bone,Hüftbein,Os coxae,concept
hippocampus,Hippocampus,Hippocampus,concept
hollow tree organ,Hohles Baumorgan,Organum arboris cavum,concept
human body,Menschlicher Körper,Corpus humanum,concept
humeral head of flexor carpi ulnaris,Oberarmkopf des ellenseitigen Handbeugers,Caput humerale musculi flexoris carpi ulnaris,concept
humeral head of pronator teres,Oberarmkopf des runden Einwärtsdrehers,Caput humerale musculi pronatoris teretis,concept
humerus,Oberarmknochen,Humerus,concept
hyoglossus,Zungenbein-Zungen-Muskel,Musculus hyoglossus,concept
hypothalamic branch of posterior communicating artery,Hypothalamusast der hinteren Verbindungsarterie,Ramus hypothalamicus arteriae communicantis posterioris,concept
hypothenar muscle,Kleinfingerballenmuskel,Musculus hypothenaris,concept
ileum,Krummdarm,Ileum,concept
iliacus,Darmbeinmuskel,Musculus iliacus,concept
iliococcygeus,Darmbein-Steißbein-Muskel,Musculus iliococcygeus,concept
iliocostalis,Darmbein-Rippen-Muskel,Musculus iliocostalis,concept
iliocostalis cervicis,Darmbein-Rippen-Muskel des Halses,Musculus iliocostalis cervicis,concept
iliocostalis lumborum,Darmbein-Rippen-Muskel der Lende,Musculus iliocostalis lumborum,concept
iliocostalis thoracis,Darmbein-Rippen-Muskel des Brustkorbs,Musculus iliocostalis thoracis,concept
iliolumbar vein,Darmbein-Lenden-Vene,Vena iliolumbalis,concept
iliotibial tract,Iliotibialtrakt,Tractus iliotibialis,concept
immaterial anatomical entity,Immaterielle anatomische Entität,Ens anatomicum immateriale,concept
incisor tooth,Schneidezahn,Dens incisivus,concept
inferior branch of ileocolic artery,Unterer Ast der Ileokolikarterie,Ramus inferior arteriae ileocolicae,concept
inferior branch of oculomotor nerve,Unterer Ast des Augenbewegungsnervs,Ramus inferior nervi oculomotorii,concept
inferior colliculus,Unterer Hügel,Colliculus inferior,concept
inferior division of upper lobe part of left bronchial tree,Unterer Ast des Oberlappenteils des linken Bronchialbaums,Ramus inferior partis lobi superioris arboris bronchialis sinistrae,concept
inferior epigastric artery,Untere Bauchdeckenarterie,Arteria epigastrica inferior,concept
inferior epigastric vein,Untere Bauchdeckenvene,Vena epigastrica inferior,concept
inferior frontal gyrus,Untere Stirnwindung,Gyrus frontalis inferior,concept
inferior genicular artery,Untere Kniearterie,Arteria inferior genus,concept
inferior gluteal vein,Untere Gesäßvene,Vena glutea inferior,concept
inferior lateral genicular artery,Untere seitliche Kniearterie,Arteria inferior lateralis genus,concept
inferior lingular bronchopulmonary segment,Unteres Lingula- Lungensegment,Segmentum bronchopulmonale lingulare inferius,concept
inferior medial genicular artery,Untere mediale Kniearterie,Arteria inferior medialis genus,concept
inferior mediastinum,Unterer Mittelfellraum,Mediastinum inferius,concept
inferior nasal concha,Untere Nasenmuschel,Concha nasalis inferior,concept
inferior oblique,Unterer schräger Augenmuskel,Musculus obliquus inferior,concept
inferior oblique part of longus colli,Unterer schräger Anteil des langen Halsmuskels,Pars obliqua inferior musculi longi colli,concept
inferior part of anterior segmental vein,Unterer Teil der vorderen Segmentvene,Pars inferior venae segmentalis anterioris,concept
inferior pharyngeal constrictor,Unterer Schlundschnürer,Musculus constrictor pharyngis inferior,concept
inferior phrenic artery,Untere Zwerchfellarterie,Arteria phrenica inferior,concept
inferior pulmonary vein,Untere Lungenvene,Vena pulmonalis inferior,concept
inferior rectus,Unterer gerader Augenmuskel,Musculus rectus inferior,concept
inferior segmental renal artery,Untere Nierensegmentarterie,Arteria segmentalis renalis inferior,concept
inferior suprarenal artery,Untere Nebennierenarterie,Arteria suprarenalis inferior,concept
inferior systemic venous tree,Unterer Körpervenenbaum,Arbor venosa systemica inferior,concept
inferior temporal gyrus,Untere Schläfenwindung,Gyrus temporalis inferior,concept
inferior terminal branch of middle cerebral artery,Unterer terminaler Ast der mittleren Hirnarterie,Ramus terminalis inferior arteriae cerebri mediae,concept
inferior thyroid artery,Untere Schilddrüsenarterie,Arteria thyroidea inferior,concept
inferior ulnar collateral artery,Untere Ellen-Kollateralarterie,Arteria collateralis ulnaris inferior,concept
inferior wall of left ventricle,Untere Wand der linken Herzkammer,Paries inferior ventriculi sinistri,concept
inferior wall of right ventricle,Untere Wand der rechten Herzkammer,Paries inferior ventriculi dextri,concept
inferomedial branch of right pulmonary artery,Inferomedialer Ast der rechten Lungenarterie,Ramus inferomedialis arteriae pulmonalis dextrae,concept
inferomedial part of right bronchial tree,Inferomedialer Teil des rechten Bronchialbaums,Pars inferomedialis arboris bronchialis dextrae,concept
inflow part of left ventricle,Einflussteil der linken Herzkammer,Pars afferens ventriculi sinistri,concept
inflow part of right ventricle,Einflussteil der rechten Herzkammer,Pars afferens ventriculi dextri,concept
infrahyoid muscle,Unterzungenbeinmuskel,Musculus infrahyoideus,concept
infraspinatus,Untergrätenmuskel,Musculus infraspinatus,concept
infratrochlear nerve,Nervus infratrochlearis,Nervus infratrochlearis,concept
insula,Inselrinde,Insula,concept
insular part of middle cerebral artery,Insulärer Teil der mittleren Hirnarterie,Pars insularis arteriae cerebri mediae,concept
integument,Hautdecke,Integumentum commune,concept
integumentary system,Hautsystem,Systema integumentale,concept
intercostal muscle,Zwischenrippenmuskel,Musculus intercostalis,concept
intermediate cuneiform bone,Mittleres Keilbein,Os cuneiforme intermedium,concept
intermediate hypothalamic region,Mittlere Hypothalamusregion,Regio hypothalamica intermedia,concept
intermediate postvertebral muscle,Mittlerer Rückenmuskel,Musculus dorsi intermedius,concept
intermediate tendon,Zwischensehne,Tendo intermedius,concept
intermediomedial branch of callosomarginal artery,Intermediomedialer Ast der Callosomarginalarterie,Ramus intermediomedialis arteriae callosomarginalis,concept
internal capsule,Innere Kapsel,Capsula interna,concept
internal carotid artery,Innere Halsschlagader,Arteria carotis interna,concept
internal gray matter component,Innere Komponente der grauen Substanz,Componens interna substantiae griseae,concept
internal iliac artery,Innere Beckenarterie,Arteria iliaca interna,concept
internal iliac vein,Innere Beckenvene,Vena iliaca interna,concept
internal jugular vein,Innere Drosselvene,Vena jugularis interna,concept
internal nose,Innere Nase,Nasus internus,concept
internal pudendal vein,Innere Schamvene,Vena pudenda interna,concept
internal thoracic artery,Innere Brustwandarterie,Arteria thoracica interna,concept
internal thoracic vein,Innere Brustwandvene,Vena thoracica interna,concept
interosseous membrane,Zwischenknochenmembran,Membrana interossea,concept
interosseous membrane of forearm,Zwischenknochenmembran des Unterarms,Membrana interossea antebrachii,concept
interosseous membrane of leg,Zwischenknochenmembran des Unterschenkels,Membrana interossea cruris,concept
interosseous of foot,Zwischenknochenmuskel des Fußes,Musculus interosseus pedis,concept
interspinalis muscle,Zwischendornmuskel,Musculus interspinalis,concept
interspinalis thoracis,Zwischendornmuskel des Brustkorbs,Musculus interspinalis thoracis,concept
intertransversarius muscle,Zwischenquerfortsatzmuskel,Musculus intertransversarius,concept
intervertebral disk of cervical vertebra,Bandscheibe des Halswirbels,Discus intervertebralis vertebrae cervicalis,concept
intervertebral disk of lumbar vertebra,Bandscheibe des Lendenwirbels,Discus intervertebralis vertebrae lumbalis,concept
intervertebral disk of thoracic vertebra,Bandscheibe des Brustwirbels,Discus intervertebralis vertebrae thoracicae,concept
intervertebral symphysis,Zwischenwirbelsymphyse,Symphysis intervertebralis,concept
intervertebral symphysis of axis,Zwischenwirbelsymphyse des Axis,Symphysis intervertebralis axis,concept
intracranial branch of vertebral artery,Intrakranialer Ast der Wirbelarterie,Ramus intracranialis arteriae vertebralis,concept
intrahepatic biliary tree,Intrahepatisches Gallengangsystem,Arbor biliaris intrahepatica,concept
intrapulmonary part of left inferior pulmonary vein,Intrapulmonaler Teil der linken unteren Lungenvene,Pars intrapulmonalis venae pulmonalis inferioris sinistrae,concept
intrapulmonary part of left pulmonary artery,Intrapulmonaler Teil der linken Lungenarterie,Pars intrapulmonalis arteriae pulmonalis sinistrae,concept
intrapulmonary part of left superior pulmonary vein,Intrapulmonaler Teil der linken oberen Lungenvene,Pars intrapulmonalis venae pulmonalis superioris sinistrae,concept
intrapulmonary part of right inferior pulmonary vein,Intrapulmonaler Teil der rechten unteren Lungenvene,Pars intrapulmonalis venae pulmonalis inferioris dextrae,concept
intrapulmonary part of right pulmonary artery,Intrapulmonaler Teil der rechten Lungenarterie,Pars intrapulmonalis arteriae pulmonalis dextrae,concept
intrapulmonary part of right superior pulmonary vein,Intrapulmonaler Teil der rechten oberen Lungenvene,Pars intrapulmonalis venae pulmonalis superioris dextrae,concept
intrinsic ligament of larynx,Intrinsisches Kehlkopfband,Ligamentum laryngis intrinsecum,concept
intrinsic muscle of dorsum of foot,Intrinsischer Muskel des Fußrückens,Musculus intrinsecus dorsi pedis,concept
intrinsic muscle of foot,Intrinsischer Fußmuskel,Musculus intrinsecus pedis,concept
intrinsic muscle of hand,Intrinsischer Handmuskel,Musculus intrinsecus manus,concept
intrinsic muscle of larynx,Innerer Kehlkopfmuskel,Musculus laryngis intrinsecus,concept
intrinsic muscle of plantar part of foot,Intrinsischer Muskel der Fußsohle,Musculus intrinsecus plantae pedis,concept
intrinsic muscle of shoulder,Intrinsischer Schultermuskel,Musculus intrinsecus regionis deltoideae,concept
investing fascia of left forearm,Hüllfaszie des linken Unterarms,Fascia investiens antebrachii sinistri,concept
investing fascia of left free lower limb,Hüllfaszie der linken freien unteren Gliedmaße,Fascia investiens partis liberae membri inferioris sinistrae,concept
investing fascia of left free upper limb,Hüllfaszie der linken freien oberen Gliedmaße,Fascia investiens partis liberae membri superioris sinistrae,concept
investing fascia of left lower limb,Hüllfaszie der linken unteren Gliedmaße,Fascia investiens membri inferioris sinistri,concept
investing fascia of left thigh,Hüllfaszie des linken Oberschenkels,Fascia investiens femoris sinistri,concept
investing fascia of left wrist,Hüllfaszie des linken Handgelenks,Fascia investiens carpi sinistri,concept
investing fascia of right forearm,Hüllfaszie des rechten Unterarms,Fascia investiens antebrachii dextri,concept
investing fascia of right free lower limb,Hüllfaszie der rechten freien unteren Gliedmaße,Fascia investiens partis liberae membri inferioris dextrae,concept
investing fascia of right free upper limb,Hüllfaszie der rechten freien oberen Gliedmaße,Fascia investiens partis liberae membri superioris dextrae,concept
investing fascia of right lower limb,Hüllfaszie der rechten unteren Gliedmaße,Fascia investiens membri inferioris dextri,concept
investing fascia of right thigh,Hüllfaszie des rechten Oberschenkels,Fascia investiens femoris dextri,concept
investing fascia of right upper limb,Hüllfaszie der rechten oberen Gliedmaße,Fascia investiens membri superioris dextri,concept
investing fascia of right wrist,Hüllfaszie des rechten Handgelenks,Fascia investiens carpi dextri,concept
iris,Regenbogenhaut,Iris,concept
irregular bone,Unregelmäßiger Knochen,Os irregulare,concept
irregular connective tissue,Ungeordnetes Bindegewebe,Textus connectivus irregularis,concept
jejunum,Leerdarm,Jejunum,concept
kidney,Niere,Ren,concept
lacrimal bone,Tränenbein,Os lacrimale,concept
lacrimal canaliculus,Tränenkanälchen,Canaliculus lacrimalis,concept
lacrimal gland,Tränendrüse,Glandula lacrimalis,concept
lacrimal lake,Tränensee,Lacus lacrimalis,concept
lacrimal nerve,Tränennerv,Nervus lacrimalis,concept
lacrimal sac,Tränensack,Saccus lacrimalis,concept
lamina of cerebral hemisphere,Lamina der Großhirnhemisphäre,Lamina hemispherii cerebri,concept
lamina of neuraxis,Lamina der Neuraxis,Lamina neuraxis,concept
large intestine,Dickdarm,Intestinum crassum,concept
laryngeal cartilage,Kehlkopfknorpel,Cartilago laryngis,concept
lateral basal segmental artery,Seitliche basale Segmentarterie,Arteria segmentalis basalis lateralis,concept
lateral basal segmental bronchial tree,Seitlicher basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis lateralis,concept
lateral basal segmental vein,Seitliche basale Segmentvene,Vena segmentalis basalis lateralis,concept
lateral branch of anterior basal segmental artery,Seitlicher Ast der vorderen basalen Segmentarterie,Ramus lateralis arteriae segmentalis basalis anterioris,concept
lateral branch of left portal vein,Seitlicher Ast der linken Pfortader,Ramus lateralis venae portae sinistrae,concept
lateral branch of pontine artery,Seitlicher Ast der Brückenarterie,Ramus lateralis arteriae pontis,concept
lateral branch of superior segmental artery,Seitlicher Ast der oberen Segmentarterie,Ramus lateralis arteriae segmentalis superioris,concept
lateral bronchopulmonary segment,Seitliches Lungensegment,Segmentum bronchopulmonale laterale,concept
lateral circumflex femoral artery,Seitliche Oberschenkel-Zirkumflexarterie,Arteria circumflexa femoris lateralis,concept
lateral circumflex femoral vein,Seitliche Oberschenkel-Zirkumflexvene,Vena circumflexa femoris lateralis,concept
lateral crico-arytenoid,Seitlicher Ringknorpel-Stellknorpel-Muskel,Musculus cricoarytenoideus lateralis,concept
lateral cuneiform bone,Äußeres Keilbein,Os cuneiforme laterale,concept
lateral frontobasal artery,Seitliche Frontobasalarterie,Arteria frontobasalis lateralis,concept
lateral geniculate body,Seitlicher Kniehöcker,Corpus geniculatum laterale,concept
lateral head of flexor hallucis brevis,Seitlicher Kopf des kurzen Großzehenbeugers,Caput laterale musculi flexoris hallucis brevis,concept
lateral head of gastrocnemius,Seitlicher Kopf des Zwillingswadenmuskels,Caput laterale musculi gastrocnemii,concept
lateral head of triceps brachii,Seitlicher Kopf des dreiköpfigen Oberarmmuskels,Caput laterale musculi tricipitis brachii,concept
lateral nasal cartilage,Seitlicher Nasenknorpel,Cartilago nasi lateralis,concept
lateral occipital artery,Seitliche Hinterhauptarterie,Arteria occipitalis lateralis,concept
lateral plantar artery,Seitliche Fußsohlenarterie,Arteria plantaris lateralis,concept
lateral proper palmar digital artery of little finger,Seitliche eigentliche Hohlhand-Fingerarterie des Kleinfingers,Arteria digitalis palmaris propria lateralis digiti minimi,concept
lateral proper palmar digital artery of middle finger,Seitliche eigentliche Hohlhand-Fingerarterie des Mittelfingers,Arteria digitalis palmaris propria lateralis digiti medii,concept
lateral proper palmar digital artery of ring finger,Seitliche eigentliche Hohlhand-Fingerarterie des Ringfingers,Arteria digitalis palmaris propria lateralis digiti anularis,concept
lateral rectus,Seitlicher gerader Augenmuskel,Musculus rectus lateralis,concept
lateral sacral vein,Seitliche Kreuzbeinvene,Vena sacralis lateralis,concept
lateral segmental artery,Seitliche Segmentarterie,Arteria segmentalis lateralis,concept
lateral segmental hepatic artery,Seitliche Lebersegmentarterie,Arteria segmentalis hepatica lateralis,concept
lateral segmental vein,Seitliche Segmentvene,Vena segmentalis lateralis,concept
lateral superior cerebellar artery,Seitliche obere Kleinhirnarterie,Arteria superior cerebelli lateralis,concept
lateral tarsal artery,Seitliche Fußwurzelarterie,Arteria tarsalis lateralis,concept
lateral thoracic artery,Seitliche Brustwandarterie,Arteria thoracica lateralis,concept
lateral thoracic vein,Seitliche Brustwandvene,Vena thoracica lateralis,concept
lateral thyrohyoid ligament,Seitliches Schildknorpel-Zungenbein-Band,Ligamentum thyrohyoideum laterale,concept
lateral tributary of left hepatic biliary tree,Seitlicher Zufluss des linken Gallengangsystems,Ramus lateralis arboris biliaris sinistri,concept
lateral ventricle,Seitenventrikel,Ventriculus lateralis,concept
lateral wall of left ventricle,Seitliche Wand der linken Herzkammer,Paries lateralis ventriculi sinistri,concept
laterobasal branch of posterior basal segmental artery,Laterobasaler Ast der hinteren basalen Segmentarterie,Ramus laterobasalis arteriae segmentalis basalis posterioris,concept
layer of wall of eyeball,Wandschicht des Augapfels,Tunica bulbi oculi,concept
leaf of cardiac valve,Segel einer Herzklappe,Cuspis valvae cordis,concept
leaflet of mitral valve,Segel der Mitralklappe,Cuspis valvae mitralis,concept
leaflet of tricuspid valve,Segel der Trikuspidalklappe,Cuspis valvae tricuspidalis,concept
left anterior basal bronchopulmonary segment,Linkes vorderes basales Lungensegment,Segmentum bronchopulmonale basale anterius sinistrum,concept
left anterior bronchopulmonary segment,Linkes vorderes Lungensegment,Segmentum bronchopulmonale anterius sinistrum,concept
left apical bronchopulmonary segment,Linkes apikales Lungensegment,Segmentum bronchopulmonale apicale sinistrum,concept
left archicortex,Linker Archikortex,Archicortex sinister,concept
left arm,Linker Oberarm,Brachium sinistrum,concept
left atrium,Linker Vorhof,Atrium sinistrum,concept
left basal segmental artery,Linke basale Segmentarterie,Arteria segmentalis basalis sinistra,concept
left big toe,Linke Großzehe,Hallux sinister,concept
left bony pectoral girdle,Linker knöcherner Schultergürtel,Cingulum pectorale osseum sinistrum,concept
left bronchial tree,Linker Bronchialbaum,Arbor bronchialis sinistra,concept
left cerebral hemisphere,Linke Großhirnhemisphäre,Hemispherium cerebri sinistrum,concept
left cheek,Linke Wange,Bucca sinistra,concept
left common basal vein,Linke gemeinsame Basalvene,Vena basalis communis sinistra,concept
left coronary artery,Linke Koronararterie,Arteria coronaria sinistra,concept
left costocervical artery,Linker Rippen-Hals-Stamm,Truncus costocervicalis sinister,concept
left deep femoral artery,Linke tiefe Oberschenkelarterie,Arteria profunda femoris sinistra,concept
left eye,Linkes Auge,Oculus sinister,concept
left eyeball,Linker Augapfel,Bulbus oculi sinister,concept
left foot,Linker Fuß,Pes sinister,concept
left foot proper,Linker eigentlicher Fuß,Pes proprius sinister,concept
left forearm,Linker Unterarm,Antebrachium sinistrum,concept
left fourth toe,Linke vierte Zehe,Digitus quartus pedis sinister,concept
left free lower limb,Linke freie untere Gliedmaße,Pars libera membri inferioris sinistra,concept
left free upper limb,Linke freie obere Gliedmaße,Pars libera membri superioris sinistra,concept
left frontal lobe,Linker Stirnlappen,Lobus frontalis sinister,concept
left hand,Linke Hand,Manus sinistra,concept
left hand proper,Linke eigentliche Hand,Manus propria sinistra,concept
left hemiliver,Linke Leberhälfte,Hemihepar sinistrum,concept
left hepatic artery,Linke Leberarterie,Arteria hepatica sinistra,concept
left hepatic biliary tree,Linkes Gallengangsystem der Leber,Arbor biliaris hepatis sinistra,concept
left hip,Linke Hüfte,Coxa sinistra,concept
left hippocampal formation,Linke Hippocampusformation,Formatio hippocampi sinistra,concept
left index finger,Linker Zeigefinger,Index sinister,concept
left inferior basal vein,Linke untere Basalvene,Vena basalis inferior sinistra,concept
left knee,Linkes Knie,Genu sinistrum,concept
left lacrimal apparatus,Linker Tränenapparat,Apparatus lacrimalis sinister,concept
left lacrimal duct,Linker Tränengang,Ductus lacrimalis sinister,concept
left lateral basal bronchopulmonary segment,Linkes seitliches basales Lungensegment,Segmentum bronchopulmonale basale laterale sinistrum,concept
left lateral chest wall,Linke seitliche Brustwand,Paries pectoris lateralis sinister,concept
left lateral superficial chest wall,Linke seitliche oberflächliche Brustwand,Paries pectoris superficialis lateralis sinister,concept
left lateral wall of internal nose,Linke Seitenwand der inneren Nase,Paries lateralis sinister nasi interni,concept
left leg,Linker Unterschenkel,Crus sinistrum,concept
left limbic lobe,Linker limbischer Lappen,Lobus limbicus sinister,concept
left little finger,Linker Kleinfinger,Digitus minimus manus sinister,concept
left little toe,Linke Kleinzehe,Digitus minimus pedis sinister,concept
left lobe of liver,Linker Leberlappen,Lobus hepatis sinister,concept
left lower eyelid,Linkes Unterlid,Palpebra inferior sinistra,concept
left lower limb,Linke untere Gliedmaße,Membrum inferius sinistrum,concept
left lower lobar artery,Linke untere Lappenarterie,Arteria lobaris inferior sinistra,concept
left lung,Linke Lunge,Pulmo sinister,concept
left medial basal bronchopulmonary segment,Linkes mediales basales Lungensegment,Segmentum bronchopulmonale basale mediale sinistrum,concept
left middle finger,Linker Mittelfinger,Digitus medius sinister,concept
left orbit,Linke Augenhöhle,Orbita sinistra,concept
left orbital compartment,Linkes Augenhöhlenkompartiment,Compartimentum orbitale sinistrum,concept
